ID,EDO.JS name,Pitches,Note 2,Note 3,Note 4,Note 5,Note 6,Note 7,# IC 1,# IC 2,# IC 3,# IC 4,# IC 5,# IC 6,Polygon Area,Coherence Quotient,Alterations from diatonic in closest mode,# modes that cannot be mapped into Stable / active notes,# modes that can be mapped onto unique scalar roles
0,127,"0,1,2,3,4,5,6",1,2,3,4,5,6,6,5,4,3,2,1,0.4774648292756923,0.5,5,7,0
1,191,"0,1,2,3,4,5,7",1,2,3,4,5,7,5,5,4,3,3,1,0.6152970531311421,0.37857142857142856,4,7,0
2,319,"0,1,2,3,4,5,8",1,2,3,4,5,8,5,4,4,4,3,1,0.6948745246770909,0.3571428571428571,4,6,0
3,223,"0,1,2,3,4,6,7",1,2,3,4,6,7,5,4,4,3,3,2,0.6152970531311421,0.40714285714285714,4,7,0
4,351,"0,1,2,3,4,6,8",1,2,3,4,6,8,4,5,3,4,3,2,0.7318065577501444,0.3857142857142857,3,5,0
5,607,"0,1,2,3,4,6,9",1,2,3,4,6,9,4,4,5,3,3,2,0.7744519962230396,0.3857142857142857,4,5,0
6,415,"0,1,2,3,4,7,8",1,2,3,4,7,8,5,3,3,4,4,2,0.6948745246770909,0.4928571428571429,3,5,0
7,671,"0,1,2,3,4,7,9",1,2,3,4,7,9,4,4,4,3,4,2,0.7744519962230396,0.4928571428571429,3,6,0
8,239,"0,1,2,3,5,6,7",1,2,3,5,6,7,5,4,3,3,4,2,0.6152970531311422,0.4642857142857143,4,6,0
9,367,"0,1,2,3,5,6,8",1,2,3,5,6,8,4,4,4,3,4,2,0.7318065577501445,0.48571428571428577,3,5,0
10,623,"0,1,2,3,5,6,9",1,2,3,5,6,9,4,3,5,4,3,2,0.7744519962230396,0.5,4,6,0
11,431,"0,1,2,3,5,7,8",1,2,3,5,7,8,4,4,3,3,5,2,0.7318065577501444,0.55,2,4,0
12,687,"0,1,2,3,5,7,9",1,2,3,5,7,9,3,5,3,4,4,2,0.8113840292960932,0.5928571428571429,3,5,1
13,463,"0,1,2,3,6,7,8",1,2,3,6,7,8,5,3,2,3,5,3,0.6948745246770909,0.65,3,5,0
14,719,"0,1,2,3,6,7,9",1,2,3,6,7,9,4,3,4,3,4,3,0.7744519962230396,0.6785714285714286,2,4,1
15,375,"0,1,2,4,5,6,8",1,2,4,5,6,8,4,4,3,5,3,2,0.7318065577501445,0.5428571428571429,4,6,0
16,631,"0,1,2,4,5,6,9",1,2,4,5,6,9,4,3,4,5,4,1,0.7744519962230396,0.5785714285714285,3,5,0
17,439,"0,1,2,4,5,7,8",1,2,4,5,7,8,4,3,4,4,4,2,0.7318065577501444,0.6357142857142857,3,5,0
18,695,"0,1,2,4,5,7,9",1,2,4,5,7,9,3,4,4,4,5,1,0.8113840292960932,0.6857142857142857,2,4,2
19,823,"0,1,2,4,5,8,9",1,2,4,5,8,9,4,2,4,6,4,1,0.7744519962230397,0.7142857142857143,2,4,2
20,471,"0,1,2,4,6,7,8",1,2,4,6,7,8,4,4,2,4,4,3,0.7318065577501444,0.6357142857142857,2,5,0
21,727,"0,1,2,4,6,7,9",1,2,4,6,7,9,3,4,4,3,5,2,0.8113840292960932,0.7714285714285715,1,3,3
22,855,"0,1,2,4,6,8,9",1,2,4,6,8,9,3,4,3,5,4,2,0.8113840292960932,0.8285714285714285,1,3,4
23,1367,"0,1,2,4,6,8,10",1,2,4,6,8,10,2,6,2,6,2,3,0.8483160623691467,0.75,2,5,2
24,743,"0,1,2,5,6,7,9",1,2,5,6,7,9,4,3,3,4,5,2,0.7744519962230396,0.7428571428571429,2,4,2
25,871,"0,1,2,5,6,8,9",1,2,5,6,8,9,4,2,4,5,4,2,0.7744519962230396,0.8142857142857143,2,3,3
26,379,"0,1,3,4,5,6,8",1,3,4,5,6,8,4,4,4,4,4,1,0.7318065577501442,0.5,4,6,0
27,443,"0,1,3,4,5,7,8",1,3,4,5,7,8,4,3,4,5,4,1,0.7318065577501444,0.6071428571428572,4,5,0
28,699,"0,1,3,4,5,7,9",1,3,4,5,7,9,3,4,4,5,3,2,0.8113840292960932,0.6642857142857144,3,5,1
29,731,"0,1,3,4,6,7,9",1,3,4,6,7,9,3,3,6,3,3,3,0.8113840292960932,0.7785714285714286,2,4,2
30,859,"0,1,3,4,6,8,9",1,3,4,6,8,9,3,3,5,4,4,2,0.8113840292960932,0.8714285714285714,1,3,4
31,1371,"0,1,3,4,6,8,10",1,3,4,6,8,10,2,5,4,4,4,2,0.8483160623691468,0.9285714285714286,1,3,4
32,747,"0,1,3,5,6,7,9",1,3,5,6,7,9,3,4,4,4,3,3,0.8113840292960932,0.7214285714285714,2,4,1
33,1387,"0,1,3,5,6,8,10",1,3,5,6,8,10,2,5,4,3,6,1,0.8483160623691466,0.9928571428571429,0,1,6
34,755,"0,1,4,5,6,7,9",1,4,5,6,7,9,4,3,4,4,4,2,0.7744519962230396,0.5928571428571429,3,4,1
35,381,"0,2,3,4,5,6,8",2,3,4,5,6,8,4,5,4,4,2,2,0.7318065577501444,0.3928571428571429,4,7,0
36,701,"0,2,3,4,5,7,9",2,3,4,5,7,9,3,5,4,3,5,1,0.8113840292960932,0.5071428571428571,3,4,0
37,733,"0,2,3,4,6,7,9",2,3,4,6,7,9,3,4,5,3,4,2,0.8113840292960932,0.6642857142857144,3,4,0
